exp_id,sensor_pair,physio_col,r2_score,mae,n_samples,slope,intercept
10,sensor3-sensor4,systolic_bp_mean,0.002679024882920822,1.5481186426201767,38,0.019318542072454495,116.29682083646937
10,sensor3-sensor4,diastolic_bp_mean,0.0031122204526659036,1.6110829257849952,38,-0.021100867641998124,61.50667368739481
10,sensor3-sensor4,mean_bp_mean,0.0029720752068551626,1.4123038439171547,38,-0.01799193819570556,79.3615159635288
10,sensor3-sensor4,cardiac_output_mean,0.0048358232537706325,0.13495243301861945,38,-0.0022538463599065996,8.12760287037089
10,sensor3-sensor4,cardiac_index_mean,0.004821871080878837,0.01188709884663043,38,-0.00019838023222424123,4.872491912877754
10,sensor3-sensor5,systolic_bp_mean,0.6502592763514572,1.4383055686299295,16,0.33486737314037995,140.51147791439277
10,sensor3-sensor5,diastolic_bp_mean,0.5972601452501886,1.3123937459622597,16,0.2948837095738451,82.21958948980324
10,sensor3-sensor5,mean_bp_mean,0.5994362637625609,1.2027740714702704,16,0.276044096646104,98.60132467179959
10,sensor3-sensor5,cardiac_output_mean,0.4444401652272093,0.10090437116250683,16,-0.019949153351052403,6.582623663170041
10,sensor3-sensor5,cardiac_index_mean,0.4430038106211349,0.00895784481203038,16,-0.0017650454416839757,4.735869782403831
10,sensor4-sensor5,systolic_bp_mean,0.5197148101217687,1.599845517825761,17,0.2850386797584074,146.87938735030173
10,sensor4-sensor5,diastolic_bp_mean,0.5541310883971609,1.1428969612947621,17,0.2628417131750398,89.17382586216428
10,sensor4-sensor5,mean_bp_mean,0.5207836534026181,1.4753898538717631,17,0.2670753361518995,107.04211156354434
10,sensor4-sensor5,cardiac_output_mean,0.2885811761248376,0.1506122804977792,17,-0.018700361100160764,6.040509584582245
10,sensor4-sensor5,cardiac_index_mean,0.2884450994544061,0.013325856481904253,17,-0.0016555023380204125,4.687804315915765
